source_ip,source_port,destination_port,honeypot,country
"35.239.84.63",55632,38292,"dionaea",
"35.239.84.63",56788,1272,"dionaea",
"35.239.84.63",50588,1055,"dionaea",
"35.239.84.63",49112,1123,"dionaea",
"35.239.84.63",47554,2725,"dionaea",
"35.239.84.63",47084,5822,"dionaea",
"35.239.84.63",34604,2010,"dionaea",
"35.239.84.63",56910,3031,"dionaea",
"35.239.84.63",40584,7070,"dionaea",
"35.239.84.63",60486,19801,"dionaea",
"35.239.84.63",41354,32782,"dionaea",
"35.239.84.63",56278,1061,"dionaea",
"35.239.84.63",51258,631,"dionaea",
"35.239.84.63",50428,88,"dionaea",
"35.239.84.63",34244,3784,"dionaea",
"35.239.84.63",36572,5226,"dionaea",
"35.239.84.63",52534,1322,"dionaea",
"35.239.84.63",38544,9091,"dionaea",
"35.239.84.63",50794,6002,"dionaea",
"35.239.84.63",50348,990,"dionaea",
"35.239.84.63",38162,5190,"dionaea",
"35.239.84.63",51906,6580,"dionaea",
"35.239.84.63",53358,617,"dionaea",
"35.239.84.63",45384,1034,"dionaea",
"35.239.84.63",57550,8222,"dionaea",
"35.239.84.63",59200,2191,"dionaea",
"35.239.84.63",58906,5009,"dionaea",
"35.239.84.63",38268,1259,"dionaea",
"35.239.84.63",59696,44442,"dionaea",
"35.239.84.63",33404,6699,"dionaea",
"35.239.84.63",58548,6692,"dionaea",
"35.239.84.63",52816,1718,"dionaea",
"35.239.84.63",35322,7000,"dionaea",
"35.239.84.63",34766,54328,"dionaea",
"35.239.84.63",47070,8010,"dionaea",
"35.239.84.63",47180,2106,"dionaea",
"35.239.84.63",55464,18101,"dionaea",
"35.239.84.63",55296,1094,"dionaea",
"35.239.84.63",46186,34572,"dionaea",
"35.239.84.63",48088,49176,"dionaea",
"35.239.84.63",53058,10010,"dionaea",
"35.239.84.63",33342,1972,"dionaea",
"35.239.84.63",45680,3371,"dionaea",
"35.239.84.63",39626,1089,"dionaea",
"35.239.84.63",60338,54045,"dionaea",
"35.239.84.63",48792,1124,"dionaea",
"35.239.84.63",57786,1080,"dionaea",
"35.239.84.63",57646,1085,"dionaea",
"35.239.84.63",37388,27353,"dionaea",
"35.239.84.63",52378,481,"dionaea",
"35.239.84.63",40074,19350,"dionaea",
"35.239.84.63",39518,5050,"dionaea",
"35.239.84.63",37984,3283,"dionaea",
"35.239.84.63",47510,9502,"dionaea",
"35.239.84.63",36328,1494,"dionaea",
"35.239.84.63",42010,1296,"dionaea",
"35.239.84.63",36962,8500,"dionaea",
"35.239.84.63",56840,5003,"dionaea",
"35.239.84.63",45884,6789,"dionaea",
"35.239.84.63",55650,1216,"dionaea",
"35.239.84.63",49908,6009,"dionaea",
"35.239.84.63",49760,9290,"dionaea",
"35.239.84.63",55836,8654,"dionaea",
"35.239.84.63",52014,1069,"dionaea",
"35.239.84.63",48410,259,"dionaea",
"35.239.84.63",37642,10628,"dionaea",
"35.239.84.63",46058,1149,"dionaea",
"35.239.84.63",41444,6566,"dionaea",
"35.239.84.63",52226,32773,"dionaea",
"35.239.84.63",55338,1840,"dionaea",
"35.239.84.63",35706,5850,"dionaea",
"35.239.84.63",38410,32784,"dionaea",
"35.239.84.63",37852,2111,"dionaea",
"35.239.84.63",59596,705,"dionaea",
"35.239.84.63",49244,1862,"dionaea",
"35.239.84.63",38910,1033,"dionaea",
"35.239.84.63",46640,5030,"dionaea",
"35.239.84.63",53988,19283,"dionaea",
"35.239.84.63",53614,3814,"dionaea",
"35.239.84.63",39422,1054,"dionaea",
"35.239.84.63",48130,880,"dionaea",
"35.239.84.63",52642,50800,"dionaea",
"35.239.84.63",53652,44501,"dionaea",
"35.239.84.63",52608,3128,"dionaea",
"35.239.84.63",55844,9535,"dionaea",
"35.239.84.63",33850,1864,"dionaea",
"35.239.84.63",47232,50636,"dionaea",
"35.239.84.63",51034,1417,"dionaea",
"35.239.84.63",58196,25735,"dionaea",
"35.239.84.63",34622,787,"dionaea",
"35.239.84.63",58962,65000,"dionaea",
"35.239.84.63",40866,2399,"dionaea",
"35.239.84.63",34868,10082,"dionaea",
